workflow,task,kind,text,subject_kind,subject_ref,operator,value
sprint-0,file-requirements,done,"They are filed as supplied, not paraphrased — everything downstream cites them and cannot tell a summary from the source",,,,
sprint-0,draft-product-brief,done,Every feature the SOW commits to is covered or named out of scope,,,,
sprint-0,build-design-library,done,It links the real artifact — the Figma file or component library — rather than describing it,,,,
sprint-0,review-timeline,done,Every milestone has a date and something it delivers,,,,
sprint-0,approve-timeline,done,"The dates are ones the engagement can be held to, not the ones the SOW hoped for",,,,
sprint-0,review-staffing,done,Every role a later phase assigns work to has a named holder,,,,
sprint-0,review-staffing,done,Roles left deliberately unstaffed are recorded with a reason,,,,
sprint-0,approve-staffing,done,Every named holder is a real person who has agreed to the role — approving this puts them on the engagement,,,,
sprint-0,review-raci,done,Every named holder appears against at least one responsibility,,,,
sprint-0,approve-raci,done,"Every decision the engagement will have to make has one accountable name, not two",,,,
sprint-0,draft-features,done,Every feature names the outcome it is betting on,,,,
sprint-0,draft-features,done,"Every feature says how it will be judged — the target, and where the number comes from",,,,
sprint-0,draft-features,done,"What the brief leaves unclear is an open question, not a guessed feature",,,,
epics,review-epics,done,Every epic belongs to a feature,,,,
epics,review-epics,done,Every epic traces to something the brief or the SOW commits to,,,,
epics,review-epics,done,Every epic names the milestone it serves,,,,
epics,review-epics,done,"What the brief leaves unclear is an open question, not a guessed epic",,,,
sprint-0,review-delivery-plan,done,Every role the plan names is staffed on the roster,,,,
sprint-0,approve-delivery-plan,done,"The plan the team will actually run is this one — departures from the standard lifecycle are named, not assumed",,,,
sprint-0,draft-foundation-architecture,done,Every epic has a named home in the architecture,,,,
sprint-0,review-ways-of-working,done,"Every ceremony names who runs it and how often, rather than that it happens",,,,
sprint-0,approve-ways-of-working,done,"It is an agreement the team has actually made, not one written on their behalf",,,,
sprint-0,draft-sprint-plan,done,"The plan fits the roster's capacity, or says where it does not",,,,
sprint-0,draft-sprint-plan,done,Work taken on that was not in the plan is recorded as unplanned,,,,
sprint-0,kickoff,done,"Kickoff happened — the Delivery Manager confirms it, and their name is on the close",,,,
sprint,sprint-planning,done,"The plan fits the roster's capacity, or says where it does not",,,,
sprint,sprint-planning,done,Work taken on that was not in the plan is recorded as unplanned,,,,
sprint,review-sprint-review,done,Every story that did not land says why,,,,
sprint,approve-sprint-review,done,It reports what happened rather than what was hoped for — a sprint that missed says so,,,,
sprint,review-retro,done,"Actions have a named owner, or are recorded as not taken",,,,
sprint,approve-retro,done,"Actions carried over from the last retro are accounted for, not silently dropped",,,,
foundation-architecture,review-research,done,"Every constraint names where it came from — a system, a document, or a person who said it",,,,
foundation-architecture,review-research,done,"What could not be found out is listed, not left as a gap the architecture quietly fills",,,,
foundation-architecture,review-research,done,Every finding says what it would cost to be wrong about,,,,
foundation-architecture,approve-research,done,"The research covers the ground this architecture has to stand on, or names what it does not",,,,
foundation-architecture,review-architecture,done,Every decision names what it beat and why — an option not considered is not a decision,,,,
foundation-architecture,review-architecture,done,Every constraint the research surfaced is either honoured or explicitly overruled,,,,
foundation-architecture,review-architecture,done,"Each decision is judged against the research, not against the reviewer's preference",,,,
foundation-architecture,review-architecture,done,"Disagreements are recorded as findings the approver can rule on, not resolved privately",,,,
foundation-architecture,review-scaffold,done,"What was created is listed with where it lives, so it can be checked rather than trusted",,,,
foundation-architecture,review-scaffold,done,"The scaffold matches the approved architecture, and any departure is named",,,,
foundation-architecture,review-scaffold,done,Every departure from the architecture is either justified or raised as a finding,,,,
product-brief,review-evidence,done,"Every claim carries a source and a date, or is marked as having none",,,,
product-brief,review-evidence,done,"What could not be found out is listed, not left for the brief to assume",,,,
product-brief,approve-evidence,done,"The sources are ones the brief can rest on, rather than the first thing found",,,,
product-brief,approve-evidence,done,Nothing the evidence marks as unknown is written as if it were settled,,,,
product-brief,review-brief,done,Every claim traces to the evidence or is marked as the author's judgment,,,,
product-brief,review-brief,done,Nothing the evidence marks as unknown is presented as settled,,,,
product-brief,review-brief,done,Each finding says what it would cost to be wrong about,,,,
product-brief,answer-review,done,"What the client left unclear is an open question, not a guessed requirement",,,,
product-brief,approve-brief,done,"The brief commits to no more than the engagement can be held to, or names where it goes further",,,,
feature,review-feature,done,Every feature names the outcome it is betting on,,,,
feature,review-feature,done,"Every feature says how it will be judged — the target, and where the number comes from",,,,
feature,review-feature,done,"Every feature carries a Metric section — what is being measured, its target, and where the number will be read from",,,,
feature,review-feature,done,"Every feature carries a Measurement section, present and empty before launch rather than absent — a section that appears later is one nobody agreed to",,,,
feature,review-feature,done,"Every feature carries a Decision section reserved for persevere, pivot, kill or inconclusive — stated as not yet due, never pre-filled",,,,
feature,review-feature,done,"Each target is judged on whether it could actually be measured, not on whether it sounds right",,,,
design-library,review-design-research,done,"Existing patterns are named — what the client already uses, and what it costs to depart from it",,,,
design-library,review-library,done,It LINKS the real artifact — the Figma file or component library — rather than describing it,,,,
design-library,review-library,done,"Each finding names the screen or component it is about, not the library in general",,,,
