workflow,task,kind,text,subject_kind,subject_ref,operator,value
onboarding,validate-connections,done,The doc store answers,connector,docs,is,wired
onboarding,validate-connections,done,The tracker answers,connector,tickets,is,wired
sprint-0,,ready,The systems of record answered,connector,docs,is,wired
sprint-0,,ready,,connector,tickets,is,wired
sprint-0,file-sow,done,The SOW is filed — everything downstream derives from it and cannot be invented,document,SOW,status,published
sprint-0,file-requirements,done,The requirements are filed,document,Requirements,status,published
sprint-0,file-requirements,done,"They are filed as supplied, not paraphrased — everything downstream cites them and cannot tell a summary from the source",,,,
sprint-0,draft-product-brief,done,The product brief is published,document,product-brief,status,published
sprint-0,draft-product-brief,done,Every feature the SOW commits to is covered or named out of scope,,,,
sprint-0,build-design-library,done,The design library is published,document,design-library,status,published
sprint-0,build-design-library,done,It links the real artifact — the Figma file or component library — rather than describing it,,,,
sprint-0,draft-timeline,done,The timeline is published,document,Milestones and timeline,status,published
sprint-0,review-timeline,done,The timeline is published,document,Milestones and timeline,status,published
sprint-0,review-timeline,done,Every milestone has a date and something it delivers,,,,
sprint-0,approve-timeline,done,The timeline is published,document,Milestones and timeline,status,published
sprint-0,approve-timeline,done,"The dates are ones the engagement can be held to, not the ones the SOW hoped for",,,,
sprint-0,approve-timeline,done,"The timeline is accepted by the product manager, and their name is on the close",,,,
sprint-0,propose-staffing,done,The roster is published,document,Staffing plan,status,published
sprint-0,review-staffing,done,The roster is published,document,Staffing plan,status,published
sprint-0,review-staffing,done,Every role a later phase assigns work to has a named holder,,,,
sprint-0,review-staffing,done,Roles left deliberately unstaffed are recorded with a reason,,,,
sprint-0,approve-staffing,done,The roster is published,document,Staffing plan,status,published
sprint-0,approve-staffing,done,"Every named holder is a real person who has agreed to the role — approving this puts them on the engagement",,,,
sprint-0,approve-staffing,done,"The roster is accepted by the product manager, and their name is on the close",,,,
sprint-0,draft-raci,done,Roles and responsibilities are published,document,RACI,status,published
sprint-0,review-raci,done,Roles and responsibilities are published,document,RACI,status,published
sprint-0,review-raci,done,Every named holder appears against at least one responsibility,,,,
sprint-0,approve-raci,done,Roles and responsibilities are published,document,RACI,status,published
sprint-0,approve-raci,done,"Every decision the engagement will have to make has one accountable name, not two",,,,
sprint-0,approve-raci,done,"The RACI is accepted by the product manager, and their name is on the close",,,,
sprint-0,draft-features,done,The features are published,document,features,status,published
sprint-0,draft-features,done,Every feature names the outcome it is betting on,,,,
sprint-0,draft-features,done,"Every feature says how it will be judged — the target, and where the number comes from",,,,
sprint-0,draft-features,done,"What the brief leaves unclear is an open question, not a guessed feature",,,,
epics,draft-epics,done,The epics are published,document,deliverables,status,published
epics,review-epics,done,The epics are published,document,deliverables,status,published
epics,review-epics,done,Every epic belongs to a feature,,,,
