workflow,step,kind,agent,practice,task,conditional,detail
advance,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
build,1,agent,engineer,Engineering,implement-story,,engineer.implement-story (Engineer agent owns) — covers Phase 2 + Phase 4
build,2,agent,automation,QA,write-e2e-tests,,automation.write-e2e-tests (Automation agent owns) — covers Phase 3
build,3,agent,reviewer,QA,review-pr,,reviewer.review-pr (Reviewer agent owns) — covers Phase 5 review side
build,4,agent,engineer,Engineering,respond-to-review,,engineer.respond-to-review (Engineer agent owns) — covers Phase 5 response side
build,5,agent,pm,Product,arbitrate-dispute,,pm.arbitrate-dispute (PM agent owns) — fires ad-hoc when Engineer disputes
build,6,hitl,human,,approve,,HITL gate — human approves merge (human)
build,7,machine,,,mechanical check,,Mechanical merge constraints (CI + branch protection)
build,8,other,,,Post-merge,,Post-merge — tech-writer engagement + story status finalization
create-epics,1,refresh,pm,Product,refresh,,"No dispatch graph — one agent, recurring"
dashboard,1,refresh,delivery-manager,Delivery,refresh,,"No dispatch graph — one agent, recurring"
design-library,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
epics,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
feature-architecture,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
feature,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
fix,1,agent,engineer,Engineering,triage-and-fix,,engineer.triage-and-fix (Engineer agent owns)
fix,2,agent,automation,QA,write-e2e-tests,,automation.write-e2e-tests (Automation agent owns)
fix,3,agent,reviewer,QA,review-pr,,reviewer.review-pr (Reviewer agent owns)
fix,4,agent,engineer,Engineering,respond-to-review,,engineer.respond-to-review (Engineer agent owns)
fix,5,hitl,human,,approve,,HITL gate — approve merge (human)
fix,6,agent,tech-writer,Product,accumulate-changelog,,tech-writer.accumulate-changelog (Tech Writer agent owns)
foundation-architecture,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
job-aids,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
launch-readiness,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
learn,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
measure,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
metrics,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
onboarding,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
ops,1,agent,principal-engineer,,lead-ops-change,,principal-engineer.lead-ops-change (Principal Engineer agent owns)
ops,2,hitl,human,,approve,,HITL gate — plan approved (human)
ops,3,agent,engineer,Engineering,apply-ops-change,,engineer.apply-ops-change (Engineer agent owns)
ops,4,agent,reviewer,QA,review-pr,,reviewer.review-pr (Reviewer agent owns)
ops,5,agent,engineer,Engineering,respond-to-review,,engineer.respond-to-review (Engineer agent owns)
ops,6,hitl,human,,approve,,HITL gate — approve merge (human)
ops,7,agent,tech-writer,Product,accumulate-changelog,,tech-writer.accumulate-changelog (Tech Writer agent owns)
plan,1,refresh,delivery-manager,Delivery,refresh,,"No dispatch graph — one agent, recurring"
product-brief,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
release-comms,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
release,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
retro,1,refresh,delivery-manager,Delivery,refresh,,"No dispatch graph — one agent, recurring"
scan,1,refresh,scanner,Security,refresh,,"No dispatch graph — one agent, recurring"
sprint-0,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
sprint-plan,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
sprint,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
status,1,refresh,delivery-manager,Delivery,refresh,,"No dispatch graph — one agent, recurring"
story,1,agent,product-manager,,decompose-epic-to-story,,product-manager.decompose-epic-to-story (PM agent owns)
story,2,agent,designer,Design,draft-design-spec,,designer.draft-design-spec (Designer agent owns) — per UI slice (into the design story)
story,3,agent,ux-writer,Design,write-copy,,ux-writer.write-copy (UX Writer agent owns) — per UI slice (into the copy story)
story,4,hitl,human,,approve,,HITL gate (human — only when hitl_level: every_phase)
story,5,agent,delivery-manager,Delivery,update-status,,delivery-manager.update-status (Delivery Manager agent owns)
tech-design,1,refresh,,,refresh,,No dispatch graph and no agent named — needs review
triage,1,agent,support,Support,classify-intake,,support.classify-intake (Support agent owns)
triage,2,hitl,human,,approve,,HITL — ITIL intake routing gate (human)
triage,3,agent,support,Support,triage-incident,incident branch,support.triage-incident (Support agent owns) — [incident branch]
triage,4,hitl,human,,approve,incident branch,HITL — stop-the-bleed + fix-forward routing gate (human) — [incident branch]
triage,5,agent,engineer,Engineering,triage-and-fix,needs-fix branch,engineer.triage-and-fix (Engineer agent owns) — [needs-fix branch]
triage,6,agent,reviewer,QA,review-pr,needs-fix branch,reviewer.review-pr (Reviewer agent owns) — [needs-fix branch]
triage,7,agent,support,Support,write-postmortem,reconverge: both incident branches,support.write-postmortem (Support agent owns) — [reconverge: both incident branches]
triage,8,hitl,human,,approve,,HITL — postmortem approved (human)
triage,9,agent,tech-writer,Product,accumulate-changelog,,tech-writer.accumulate-changelog (Tech Writer agent owns)
